Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Tyler Larkin (90000063),Tyler Larkin,90000063,QB,2900,SF@MIA 07/24/2026 01:00PM ET,SF,1.49
TE,Omar Whitfield (90000036),Omar Whitfield,90000036,TE/FLEX,2800,PHI@DAL 07/24/2026 01:00PM ET,DAL,1.73
WR,Xavier Manning (90000166),Xavier Manning,90000166,WR/FLEX,2800,MIN@HOU 07/24/2026 04:05PM ET,MIN,1.94
QB,Corey Nakamura (90000219),Corey Nakamura,90000219,QB,2800,ATL@NO 07/24/2026 08:20PM ET,NO,1.61
RB,Caleb Booker (90000210),Caleb Booker,90000210,RB/FLEX,2800,LAC@DEN 07/24/2026 04:25PM ET,LAC,1.84
QB,Brandon Nakamura (90000195),Brandon Nakamura,90000195,QB,2800,LAC@DEN 07/24/2026 04:25PM ET,DEN,1.43
RB,Trevor Fields (90000162),Trevor Fields,90000162,RB/FLEX,2800,MIN@HOU 07/24/2026 04:05PM ET,MIN,2.04
QB,Jared Manning (90000147),Jared Manning,90000147,QB,2800,MIN@HOU 07/24/2026 04:05PM ET,HOU,1.92
TE,DeAndre Castillo (90000180),DeAndre Castillo,90000180,TE/FLEX,2700,JAX@PIT 07/24/2026 04:25PM ET,PIT,1.83
WR,Jared Winslow (90000130),Jared Winslow,90000130,WR/FLEX,2700,LAR@SEA 07/24/2026 04:05PM ET,SEA,1.99
QB,Jalen Sanders (90000183),Jalen Sanders,90000183,QB,2700,JAX@PIT 07/24/2026 04:25PM ET,JAX,1.51
RB,Nate Osei (90000006),Nate Osei,90000006,RB/FLEX,2700,KC@BUF 07/24/2026 01:00PM ET,BUF,1.16
TE,Tyler Winslow (90000108),Tyler Winslow,90000108,TE/FLEX,2700,DET@GB 07/24/2026 01:00PM ET,GB,1.47
QB,Levi Fields (90000039),Levi Fields,90000039,QB,2700,PHI@DAL 07/24/2026 01:00PM ET,PHI,1.06
RB,Grant Estrada (90000078),Grant Estrada,90000078,RB/FLEX,2600,CIN@BAL 07/24/2026 01:00PM ET,BAL,0.92
QB,Ryan Delgado (90000075),Ryan Delgado,90000075,QB,2600,CIN@BAL 07/24/2026 01:00PM ET,BAL,1.01
WR,Antonio Odom (90000070),Antonio Odom,90000070,WR/FLEX,2600,SF@MIA 07/24/2026 01:00PM ET,SF,1.02
WR,Deshawn Larkin (90000142),Deshawn Larkin,90000142,WR/FLEX,2600,LAR@SEA 07/24/2026 04:05PM ET,LAR,1.27
QB,Kendall Nakamura (90000099),Kendall Nakamura,90000099,QB,2600,DET@GB 07/24/2026 01:00PM ET,GB,1.0
WR,Julian Odom (90000202),Julian Odom,90000202,WR/FLEX,2600,LAC@DEN 07/24/2026 04:25PM ET,DEN,1.35
TE,Kendall Hargrove (90000192),Kendall Hargrove,90000192,TE/FLEX,2600,JAX@PIT 07/24/2026 04:25PM ET,JAX,1.32
TE,Preston Truman (90000132),Preston Truman,90000132,TE/FLEX,2600,LAR@SEA 07/24/2026 04:05PM ET,SEA,1.46
QB,Kendall Denning (90000051),Kendall Denning,90000051,QB,2500,SF@MIA 07/24/2026 01:00PM ET,MIA,1.16
QB,Trevor Manning (90000015),Trevor Manning,90000015,QB,2500,KC@BUF 07/24/2026 01:00PM ET,KC,0.81
QB,Isaiah Rivers (90000003),Isaiah Rivers,90000003,QB,2500,KC@BUF 07/24/2026 01:00PM ET,BUF,0.81
QB,DeAndre Truman (90000027),DeAndre Truman,90000027,QB,2500,PHI@DAL 07/24/2026 01:00PM ET,DAL,1.08
RB,Jalen Ashworth (90000018),Jalen Ashworth,90000018,RB/FLEX,2500,KC@BUF 07/24/2026 01:00PM ET,KC,0.65
QB,Dominic Pace (90000111),Dominic Pace,90000111,QB,2500,DET@GB 07/24/2026 01:00PM ET,DET,0.74
QB,Trevor Denning (90000087),Trevor Denning,90000087,QB,2500,CIN@BAL 07/24/2026 01:00PM ET,CIN,0.7
QB,Brandon Odom (90000123),Brandon Odom,90000123,QB,2500,LAR@SEA 07/24/2026 04:05PM ET,SEA,0.85
QB,Cameron Brooks (90000135),Cameron Brooks,90000135,QB,2500,LAR@SEA 07/24/2026 04:05PM ET,LAR,0.69
QB,Aaron Marshall (90000171),Aaron Marshall,90000171,QB,2500,JAX@PIT 07/24/2026 04:25PM ET,PIT,0.81
QB,Emmanuel Delgado (90000159),Emmanuel Delgado,90000159,QB,2500,MIN@HOU 07/24/2026 04:05PM ET,MIN,0.96
QB,Tyler Sanders (90000207),Tyler Sanders,90000207,QB,2500,LAC@DEN 07/24/2026 04:25PM ET,LAC,0.9
TE,Nate Bishop (90000204),Nate Bishop,90000204,TE/FLEX,2500,LAC@DEN 07/24/2026 04:25PM ET,DEN,0.85
